,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
5796,Matt Miazga,D,USA,1,0,14,0,0,0,0,0,0,,0.0,2013,0,,,,
5797,Caleb Calvert,F,CHV,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,20.0,8.0,-37.0
5798,Jaime Frias Flores,D,CHV,4,3,261,0,0,0,0,0,0,,0.0,2013,0,6.0,20.0,8.0,-37.0
5799,Erik Palmer-Brown,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5800,Manny Aparicio,M,TOR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,6.0,17.0,11.0,-17.0
5801,Brendan Ruiz,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5802,Bradlee Baladez,M,DAL,1,0,27,0,0,0,0,0,0,,0.0,2013,0,11.0,12.0,11.0,-4.0
5803,Steven Evans,M,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5804,Michael Seaton,F,DC,3,1,114,0,0,0,0,0,0,,0.0,2013,0,3.0,24.0,7.0,-37.0
5805,Drew Beckie,D,CLB,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,17.0,5.0,-4.0
5806,Kory Kindle,D,COL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,7.0
5807,Ian Christianson,M,NY,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5808,Tommy Muller,D,SJ,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,11.0,9.0,-7.0
5809,Mikey Lopez,M,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5810,David Viana,M,RSL,0,0,0,0,0,0,0,0,0,,0.0,2013,0,16.0,10.0,8.0,16.0
5811,Amando Moreno,M,NY,2,0,2,0,0,0,0,0,0,,0.0,2013,0,17.0,9.0,8.0,17.0
5812,Oscar Sorto,D,LA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,11.0,8.0,15.0
5813,Mobi Fehr,D,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5814,Sebastian Rincon,F,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5815,Will Bates,F,SEA,0,0,0,0,0,0,0,0,0,,0.0,2013,0,15.0,12.0,7.0,0.0
5816,Cristhian Hernandez,F,PHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,12.0,12.0,10.0,-2.0
5817,Kellen Gulley,F,CHI,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,13.0,7.0,-5.0
5818,Caleb Clarke,F,VAN,0,0,0,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5819,Hanyer Mosquera,D,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5820,Ryan Kawulok,D,POR,0,0,0,0,0,0,0,0,0,,0.0,2013,0,14.0,5.0,15.0,21.0
5821,Kyle Miller,M,KC,0,0,0,0,0,0,0,0,0,,0.0,2013,0,17.0,10.0,7.0,17.0
5822,Greg Klazura,D,VAN,2,1,85,0,0,0,0,0,0,,0.0,2013,0,13.0,12.0,9.0,8.0
5823,Logan Emory,D,TOR,3,3,238,0,0,1,0,1,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5824,Taylor Kemp,D,DC,8,6,530,0,0,0,0,1,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5825,London Woodberry,D,DAL,8,3,363,0,0,1,0,1,1,100.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5826,Yazid Atouba,M,CHI,3,0,55,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5827,Jimmy Medranda,D,NSH,1,0,1,0,0,0,0,1,1,100.0,0.0,2013,0,,,,
5828,Dillon Serna,M,COL,1,0,13,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5829,Carlos Salcedo,D,RSL,13,12,1070,0,0,3,0,1,0,0.0,0.0,2013,0,16.0,10.0,8.0,16.0
5830,Don Anding,D,PHI,1,0,30,0,0,0,0,1,0,0.0,0.0,2013,0,12.0,12.0,10.0,-2.0
5831,Kevin Ellis,D,KC,2,1,113,0,0,0,0,1,0,0.0,0.0,2013,0,17.0,10.0,7.0,17.0
5832,Matt Kassel,D,PHI,5,0,90,0,0,0,0,1,0,0.0,0.0,2013,0,12.0,12.0,10.0,-2.0
5833,Shaun Francis,D,CHI,1,1,90,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5834,Steven Kinney,D,CHI,2,2,180,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5835,Luiz Camargo,M,HOU,7,0,109,0,0,2,0,1,0,0.0,0.0,2013,0,14.0,11.0,9.0,0.0
5836,Jaime Alas,M,SJ,5,1,117,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5837,Tommy Meyer,D,LA,7,5,494,0,0,0,0,1,0,0.0,0.0,2013,0,15.0,11.0,8.0,15.0
5838,Rafael Garcia,D,LA,9,1,222,0,0,0,0,1,1,100.0,0.0,2013,0,15.0,11.0,8.0,15.0
5839,Danny Califf,D,TOR,4,4,354,0,0,2,0,1,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5840,Marcelo Saragosa,M,DC,8,4,410,0,0,2,0,1,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5841,Logan Pause,M,CHI,15,11,904,0,0,1,0,1,0,0.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5842,Mehdi Ballouchy,M,SJ,5,1,118,0,0,1,0,1,0,0.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5843,Jonas Elmer,D,TOR,3,1,128,0,0,0,0,1,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5844,Roger Torres,M,PHI,5,0,68,0,0,0,0,1,0,0.0,0.0,2013,0,12.0,12.0,10.0,-2.0
5845,Aaron Maund,D,RSL,3,3,270,0,0,1,0,1,0,0.0,0.0,2013,0,16.0,10.0,8.0,16.0
5846,Kwame Watson-Siriboe,D,RSL,7,7,630,0,0,1,0,1,0,0.0,0.0,2013,0,16.0,10.0,8.0,16.0
5847,Dejan Jakovic,D,LAFC,18,17,1575,0,0,3,0,1,0,0.0,0.0,2013,0,,,,
5848,Brad Ring,D,POR,4,3,271,0,0,0,0,1,0,0.0,0.0,2013,0,14.0,5.0,15.0,21.0
5849,Kevin Alston,D,NE,9,6,523,0,0,0,0,2,1,50.0,0.0,2013,0,14.0,11.0,9.0,11.0
5850,A.J. DeLaGarza,D,MIA,28,28,2399,0,0,3,0,2,1,50.0,0.0,2013,0,,,,
5851,Marcus Tracy,F,SJ,5,0,58,0,0,0,0,2,1,50.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5852,Sammy Ochoa,F,SEA,4,2,175,0,0,0,0,2,0,0.0,0.0,2013,0,15.0,12.0,7.0,0.0
5853,Mike Chabala,D,HOU,4,1,158,0,0,0,0,2,0,0.0,0.0,2013,0,14.0,11.0,9.0,0.0
5854,Eric Brunner,D,HOU,13,9,889,0,0,1,0,2,0,0.0,0.0,2013,0,14.0,11.0,9.0,0.0
5855,Hernan Bernardello,M,MTL,8,8,626,0,0,1,0,2,0,0.0,0.0,2013,0,14.0,13.0,7.0,1.0
5856,Kalifa Cisse,M,NE,6,6,456,0,0,2,0,2,1,50.0,0.0,2013,0,14.0,11.0,9.0,11.0
5857,Jay DeMerit,D,VAN,8,7,607,0,0,1,0,2,1,50.0,0.0,2013,0,13.0,12.0,9.0,8.0
5858,Peter Luccin,M,DAL,3,2,201,0,0,3,0,2,0,0.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5859,Mikael Silvestre,D,POR,8,8,688,0,0,2,0,2,0,0.0,0.0,2013,0,14.0,5.0,15.0,21.0
5860,Danny Koevermans,F,TOR,4,1,78,0,0,1,0,2,2,100.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5861,Gale Agbossoumonde,D,TOR,13,12,1081,0,0,4,0,2,0,0.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5862,Eric Gehrig,D,CLB,6,6,540,0,0,0,0,2,1,50.0,0.0,2013,0,12.0,17.0,5.0,-4.0
5863,Bobby Warshaw,D,DAL,9,1,130,0,0,0,0,2,0,0.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5864,Conor Shanosky,M,DC,5,3,355,0,0,0,0,2,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5865,Eriq Zavaleta,D,TOR,5,0,31,0,0,0,0,2,1,50.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5866,Marius Obekop,M,NY,5,0,69,0,0,0,0,2,0,0.0,0.0,2013,0,17.0,9.0,8.0,17.0
5867,John Stertzer,M,RSL,2,0,33,0,0,0,0,2,0,0.0,0.0,2013,0,16.0,10.0,8.0,16.0
5868,Alex Caskey,M,SEA,10,5,430,0,0,0,0,3,0,0.0,0.0,2013,0,15.0,12.0,7.0,0.0
5869,Dennis Iapichino,D,DC,15,11,1096,0,0,4,0,3,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5870,Raphael Augusto,M,DC,7,5,395,0,0,0,0,3,1,33.33,0.0,2013,0,3.0,24.0,7.0,-37.0
5871,Marvin Iraheta,M,CHV,13,5,551,0,0,2,0,3,0,0.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5872,Josue Soto,D,CHV,18,12,1158,0,0,2,1,3,3,100.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5873,Sam Garza,M,SJ,5,0,93,0,0,0,0,3,1,33.33,0.0,2013,0,14.0,11.0,9.0,-7.0
5874,Kevan George,M,CLB,11,3,435,0,0,3,0,3,1,33.33,0.0,2013,0,12.0,17.0,5.0,-4.0
5875,Danny O'Rourke,D,CLB,22,19,1723,0,0,6,0,3,0,0.0,0.0,2013,0,12.0,17.0,5.0,-4.0
5876,Ty Harden,D,SJ,7,7,596,0,0,1,0,3,0,0.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5877,Brian Ownby,M,HOU,3,0,52,0,0,0,0,3,1,33.33,0.0,2013,0,14.0,11.0,9.0,0.0
5878,Kevin Harbottle,F,COL,4,4,269,0,0,1,0,3,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5879,Steve Purdy,D,CHV,8,5,478,0,0,1,0,4,1,25.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5880,Terry Dunfield,M,TOR,4,4,311,0,0,1,0,4,1,25.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5881,Andy O'Brien,D,VAN,16,16,1400,0,0,0,0,4,2,50.0,0.0,2013,0,13.0,12.0,9.0,8.0
5882,Jordan Stewart,D,SJ,12,12,1080,0,0,0,0,4,1,25.0,0.0,2013,0,14.0,11.0,9.0,-7.0
5883,Ethan Finlay,M,CLB,19,3,391,0,0,2,0,4,2,50.0,0.0,2013,0,12.0,17.0,5.0,-4.0
5884,Casey Townsend,F,DC,9,3,316,0,0,1,0,4,1,25.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5885,Raymon Gaddis,D,PHI,31,31,2703,0,0,3,0,4,2,50.0,0.0,2013,0,12.0,12.0,10.0,-2.0
5886,Ethan White,D,DC,14,13,1099,0,0,2,0,4,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5887,Martin Ponce,M,CHV,5,1,170,0,0,1,0,4,1,25.0,0.0,2013,0,6.0,20.0,8.0,-37.0
5888,Alvas Powell,D,MIA,5,4,382,0,0,1,0,4,0,0.0,0.0,2013,0,,,,
5889,Greg Cochrane,D,LA,12,9,848,0,0,0,0,5,0,0.0,0.0,2013,0,15.0,11.0,8.0,15.0
5890,Zach Loyd,D,DAL,25,24,2132,0,0,1,0,5,2,40.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5891,Chris Schuler,D,RSL,16,16,1440,0,0,2,0,5,1,20.0,0.0,2013,0,16.0,10.0,8.0,16.0
5892,Hogan Ephraim,M,TOR,11,9,775,0,0,2,0,5,3,60.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5893,Kamani Hill,F,COL,6,2,188,0,0,0,0,5,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5894,John Bostock,M,TOR,7,4,388,0,0,0,0,5,2,40.0,0.0,2013,0,6.0,17.0,11.0,-17.0
5895,Patrick Ianni,D,SEA,9,7,705,0,0,1,0,5,1,20.0,0.0,2013,0,15.0,12.0,7.0,0.0
5896,Michael Lahoud,M,PHI,9,3,464,0,0,1,0,5,1,20.0,0.0,2013,0,12.0,12.0,10.0,-2.0
5897,David Estrada,M,SEA,17,4,498,0,0,0,0,5,3,60.0,0.0,2013,0,15.0,12.0,7.0,0.0
5898,Leonardo,D,LA,14,12,1106,0,0,1,1,6,3,50.0,0.0,2013,0,15.0,11.0,8.0,15.0
5899,Wells Thompson,D,CHI,8,6,542,0,0,2,1,6,0,0.0,0.0,2013,0,14.0,13.0,7.0,-5.0
5900,Colin Clark,M,LA,11,4,334,0,0,0,0,6,2,33.33,0.0,2013,0,15.0,11.0,8.0,15.0
5901,Carlos Bocanegra,D,CHV,12,12,1052,0,0,2,1,6,2,33.33,0.0,2013,0,6.0,20.0,8.0,-37.0
5902,Jose Manuel Rivera,F,CHV,9,3,266,0,0,1,0,6,1,16.67,0.0,2013,0,6.0,20.0,8.0,-37.0
5903,Marcos Sanchez,M,DC,9,6,508,0,0,0,0,6,0,0.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5904,Kellyn Acosta,M,COL,13,11,1004,0,0,2,0,6,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5905,Leo Fernandes,M,PHI,7,3,281,0,0,1,0,6,1,16.67,0.0,2013,0,12.0,12.0,10.0,-2.0
5906,German Mera,D,COL,13,6,577,0,0,2,0,7,0,0.0,0.0,2013,0,14.0,11.0,9.0,7.0
5907,Erick Neres da Cruz,M,DAL,9,8,652,0,0,1,0,7,0,0.0,0.0,2013,0,11.0,12.0,11.0,-4.0
5908,David Carney,D,NY,7,7,630,0,0,2,0,7,0,0.0,0.0,2013,0,17.0,9.0,8.0,17.0
5909,Pa-Modou Kah,D,POR,20,20,1721,0,0,7,1,7,4,57.14,0.0,2013,0,14.0,5.0,15.0,21.0
5910,Zach Scott,D,SEA,21,16,1458,0,0,5,2,7,4,57.14,0.0,2013,0,15.0,12.0,7.0,0.0
5911,Jhon Kennedy Hurtado,D,SEA,27,25,2243,0,0,5,0,8,0,0.0,0.0,2013,0,15.0,12.0,7.0,0.0
5912,Mike Fucito,F,SJ,7,2,228,0,0,2,0,8,1,12.5,0.0,2013,0,14.0,11.0,9.0,-7.0
5913,Johnny Leveron,D,VAN,18,18,1620,0,0,3,0,8,1,12.5,0.0,2013,0,13.0,12.0,9.0,8.0
5914,Richard Eckersley,D,TOR,16,16,1438,0,0,4,0,8,3,37.5,0.0,2013,0,6.0,17.0,11.0,-17.0
5915,Chris Wingert,D,RSL,21,20,1742,0,0,6,1,8,1,12.5,0.0,2013,0,16.0,10.0,8.0,16.0
5916,Omar Cummings,F,HOU,11,1,190,0,0,0,0,8,3,37.5,0.0,2013,0,14.0,11.0,9.0,0.0
5917,Stephen McCarthy,D,NE,19,17,1564,0,0,2,0,8,2,25.0,0.0,2013,0,14.0,11.0,9.0,11.0
5918,Shane O'Neill,D,SEA,26,24,2196,0,0,6,1,8,4,50.0,0.0,2013,0,15.0,12.0,7.0,0.0
5919,Brad Rusin,D,VAN,19,16,1391,0,0,1,0,9,2,22.22,0.0,2013,0,13.0,12.0,9.0,8.0
5920,Clarence Goodson,D,SJ,9,9,791,0,0,4,0,9,3,33.33,0.0,2013,0,14.0,11.0,9.0,-7.0
5921,Peterson Joseph,M,KC,23,14,1174,0,0,7,0,9,1,11.11,0.0,2013,0,17.0,10.0,7.0,17.0
5922,Sainey Nyassi,M,DC,14,7,676,0,0,1,0,10,1,10.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5923,Alain Rochat,D,DC,17,15,1373,0,0,3,0,10,2,20.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5924,Miller Bolanos,M,ECU,5,2,239,0,0,0,0,10,3,30.0,0.0,2013,0,,,,
5925,Konrad Warzycha,M,CLB,13,2,272,0,0,1,0,10,0,0.0,0.0,2013,0,12.0,17.0,5.0,-4.0
5926,Kyle Bekker,M,TOR,9,3,335,0,0,0,0,11,1,9.09,0.0,2013,0,6.0,17.0,11.0,-17.0
5927,Arevalo Rios,M,CHI,9,9,780,0,0,0,0,11,3,27.27,0.0,2013,0,14.0,13.0,7.0,-5.0
5928,Bobby Burling,D,CHV,23,18,1651,0,0,6,0,11,4,36.36,0.0,2013,0,6.0,20.0,8.0,-37.0
5929,Agustin Viana,M,CLB,20,20,1519,0,0,4,0,12,1,8.33,0.0,2013,0,12.0,17.0,5.0,-4.0
5930,Matthew Fondy,F,CHV,7,1,236,0,0,0,0,12,2,16.67,0.0,2013,0,6.0,20.0,8.0,-37.0
5931,Chris Korb,D,DC,30,30,2700,0,0,5,0,12,2,16.67,0.0,2013,0,3.0,24.0,7.0,-37.0
5932,Gabriel Farfan,M,CHV,20,13,1157,0,0,3,1,17,4,23.53,0.0,2013,0,6.0,20.0,8.0,-37.0
5933,Carlos Ruiz,F,DC,13,5,528,0,0,0,0,20,9,45.0,0.0,2013,0,3.0,24.0,7.0,-37.0
5934,Bradley Wright-Phillips,F,NY,32,29,2573,27,2,3,0,109,57,52.29,24.8,2014,1,13.0,10.0,11.0,5.0
5935,Dom Dwyer,F,ORL,33,31,2724,22,1,6,0,113,48,42.48,19.5,2014,0,,,,
5936,Robbie Keane,F,LA,29,28,2549,19,14,2,0,122,54,44.26,15.6,2014,1,17.0,7.0,10.0,32.0
5937,Lee Nguyen,M,NE,32,32,2750,18,5,5,0,83,41,49.4,21.7,2014,1,17.0,13.0,4.0,5.0
5938,Obafemi Martins,F,SEA,31,29,2600,17,13,4,2,77,36,46.75,22.1,2014,1,20.0,10.0,4.0,15.0
5939,Gyasi Zardes,F,CLB,32,26,2392,16,2,0,0,74,30,40.54,21.6,2014,0,14.0,10.0,10.0,10.0
5940,Clint Dempsey,M,SEA,26,23,2132,15,10,4,0,113,47,41.59,13.3,2014,0,20.0,10.0,4.0,15.0
5941,Erick Torres,F,CHV,29,29,2510,15,1,4,1,95,32,33.68,15.8,2014,0,9.0,19.0,6.0,-32.0
5942,Chris Wondolowski,F,SJ,26,26,2340,14,4,2,0,77,36,46.75,18.2,2014,0,6.0,16.0,12.0,-15.0
5943,Joao Plata,F,RSL,26,24,1985,13,6,0,0,56,32,57.14,23.2,2014,0,15.0,8.0,11.0,15.0
5944,Sebastien Le Toux,F,PHI,29,23,2050,12,7,2,0,50,21,42.0,24.0,2014,0,10.0,12.0,12.0,0.0
5945,Diego Valeri,M,POR,33,32,2763,11,14,6,0,104,42,40.38,10.6,2014,1,12.0,9.0,13.0,9.0
5946,Fabian Espindola,F,DC,27,24,2124,11,9,5,1,68,31,45.59,16.2,2014,0,17.0,9.0,8.0,15.0
5947,Ethan Finlay,M,CLB,29,21,1898,11,7,2,0,50,22,44.0,22.0,2014,0,14.0,10.0,10.0,10.0
5948,Federico Higuain,F,DC,29,28,2488,11,7,8,0,73,25,34.25,15.1,2014,0,17.0,9.0,8.0,15.0
5949,Blas Perez,F,DAL,29,24,2061,11,6,4,2,55,21,38.18,20.0,2014,0,16.0,12.0,6.0,10.0
5950,Giles Barnes,M,HOU,34,34,3028,11,5,4,0,113,42,37.17,9.7,2014,0,11.0,17.0,6.0,-19.0
5951,Luis Silva,F,DC,27,22,1523,11,4,2,0,39,17,43.59,28.2,2014,0,17.0,9.0,8.0,15.0
5952,Jermain Defoe,F,TOR,19,17,1529,11,2,5,0,58,25,43.1,19.0,2014,0,11.0,15.0,8.0,-10.0
5953,Landon Donovan,M,LA,31,30,2720,10,19,7,0,66,24,36.36,15.2,2014,1,17.0,7.0,10.0,32.0
5954,Thierry Henry,F,NY,30,30,2651,10,14,3,0,86,28,32.56,11.6,2014,1,13.0,10.0,11.0,5.0
5955,Pedro Morales,M,VAN,33,28,2554,10,12,4,0,105,39,37.14,9.5,2014,0,12.0,8.0,14.0,2.0
5956,Fabian Castillo,M,DAL,27,26,2282,10,4,5,0,74,32,43.24,13.5,2014,0,16.0,12.0,6.0,10.0
5957,Maximiliano Urruti,F,MTL,30,12,1181,10,2,1,0,47,15,31.91,21.3,2014,0,6.0,18.0,10.0,-20.0
5958,Will Bruin,F,SEA,27,24,2074,10,1,3,0,68,31,45.59,14.7,2014,0,20.0,10.0,4.0,15.0
5959,Deshorn Brown,F,COL,30,26,2288,10,0,2,0,121,46,38.02,8.3,2014,0,8.0,18.0,8.0,-19.0
5960,Javier Morales,M,RSL,30,30,2645,9,12,6,0,64,19,29.69,14.1,2014,0,15.0,8.0,11.0,15.0
5961,Lamar Neagle,M,SEA,32,27,2248,9,9,3,0,49,28,57.14,18.4,2014,0,20.0,10.0,4.0,15.0
5962,Fanendo Adi,F,CLB,24,18,1512,9,4,1,0,53,24,45.28,17.0,2014,0,14.0,10.0,10.0,10.0
5963,Marco Di Vaio,F,MTL,26,17,1739,9,4,1,0,75,32,42.67,12.0,2014,0,6.0,18.0,10.0,-20.0
5964,Michel Garbini Pereira,M,DAL,25,20,1787,8,5,6,1,36,13,36.11,22.2,2014,0,16.0,12.0,6.0,10.0
5965,Quincy Amarikwa,F,CHI,32,29,2549,8,5,6,1,76,29,38.16,10.5,2014,0,6.0,10.0,18.0,-10.0
5966,Justin Meram,M,RSL,32,19,1683,8,4,2,0,52,21,40.38,15.4,2014,0,15.0,8.0,11.0,15.0
5967,Conor Casey,F,PHI,25,18,1434,8,2,1,0,39,17,43.59,20.5,2014,0,10.0,12.0,12.0,0.0
5968,Alvaro Saborio,F,RSL,16,13,1148,8,2,3,0,47,18,38.3,17.0,2014,0,15.0,8.0,11.0,15.0
5969,Jack McInerney,F,MTL,30,25,2116,8,2,2,0,56,19,33.93,14.3,2014,0,6.0,18.0,10.0,-20.0
5970,Harry Shipp,M,CHI,33,26,2346,7,6,0,0,40,16,40.0,17.5,2014,0,6.0,10.0,18.0,-10.0
5971,Gilberto,F,TOR,28,21,1955,7,5,3,0,73,22,30.14,9.6,2014,0,11.0,15.0,8.0,-10.0
5972,Mike Magee,M,CHI,17,17,1519,7,4,4,0,40,16,40.0,17.5,2014,0,6.0,10.0,18.0,-10.0
5973,Andrew Wenger,D,MTL,32,22,2120,7,4,1,1,66,27,40.91,10.6,2014,0,6.0,18.0,10.0,-20.0
5974,Tesho Akindele,F,ORL,26,18,1748,7,3,2,0,30,16,53.33,23.3,2014,0,,,,
5975,Eddie Johnson,F,DC,26,22,1957,7,3,3,1,42,18,42.86,16.7,2014,0,17.0,9.0,8.0,15.0
5976,Gaston Fernandez,M,POR,32,17,1562,7,2,3,0,37,17,45.95,18.9,2014,0,12.0,9.0,13.0,9.0
5977,Chad Barrett,F,SEA,26,8,867,7,1,2,0,30,14,46.67,23.3,2014,0,20.0,10.0,4.0,15.0
5978,Luke Mulholland,M,RSL,31,24,1987,6,7,4,1,41,13,31.71,14.6,2014,0,15.0,8.0,11.0,15.0
5979,Chris Rolfe,F,CHI,23,21,1755,6,6,0,0,34,13,38.24,17.6,2014,0,6.0,10.0,18.0,-10.0
5980,Marco Pappa,M,SEA,29,24,1931,6,5,3,0,62,21,33.87,9.7,2014,0,20.0,10.0,4.0,15.0
5981,Luke Moore,F,CHV,33,24,2164,6,4,2,1,58,23,39.66,10.3,2014,0,9.0,19.0,6.0,-32.0
5982,Andres Romero,M,MTL,29,25,2185,6,3,3,0,31,20,64.52,19.4,2014,0,6.0,18.0,10.0,-20.0
5983,Jeff Larentowicz,M,ATL,33,33,2970,6,3,2,0,43,19,44.19,14.0,2014,0,,,,
5984,Darren Mattocks,F,VAN,30,20,1802,6,3,2,0,54,23,42.59,11.1,2014,0,12.0,8.0,14.0,2.0
5985,Will Johnson,D,POR,29,29,2526,6,2,4,0,59,21,35.59,10.2,2014,0,12.0,9.0,13.0,9.0
5986,Bernardo Anor,M,CLB,27,18,1672,6,1,5,2,53,19,35.85,11.3,2014,0,14.0,10.0,10.0,10.0
5987,Vicente Sanchez,F,COL,17,12,1011,6,0,2,0,25,11,44.0,24.0,2014,0,8.0,18.0,8.0,-19.0
5988,Dillon Powers,M,COL,30,27,2328,5,9,2,0,33,12,36.36,15.2,2014,0,8.0,18.0,8.0,-19.0
5989,Graham Zusi,M,KC,25,24,2151,5,8,3,0,32,13,40.62,15.6,2014,0,14.0,13.0,7.0,7.0
5990,Stefan Ishizaki,M,LA,30,22,1898,5,7,2,0,35,15,42.86,14.3,2014,0,17.0,7.0,10.0,32.0
5991,Kelyn Rowe,M,NE,27,21,1960,5,5,3,0,59,15,25.42,8.5,2014,0,17.0,13.0,4.0,5.0
5992,Perry Kitchen,M,LA,31,31,2790,5,4,11,0,18,11,61.11,27.8,2014,0,17.0,7.0,10.0,32.0
5993,Baggio Husidic,M,LA,34,26,2197,5,4,3,0,44,9,20.45,11.4,2014,0,17.0,7.0,10.0,32.0
5994,Diego Fagundez,M,NE,31,25,2142,5,4,2,0,67,23,34.33,7.5,2014,0,17.0,13.0,4.0,5.0
5995,Erik Hurtado,F,KC,30,19,1805,5,3,1,0,55,22,40.0,9.1,2014,0,14.0,13.0,7.0,7.0
5996,Peguy Luyindula,F,NY,26,15,1385,5,1,2,0,23,12,52.17,21.7,2014,0,13.0,10.0,11.0,5.0
5997,Rodney Wallace,D,POR,17,12,1058,5,1,2,0,24,11,45.83,20.8,2014,0,12.0,9.0,13.0,9.0
5998,Alan Gordon,F,LA,29,11,1176,5,1,3,0,39,17,43.59,12.8,2014,0,17.0,7.0,10.0,32.0
5999,Jairo Arrieta,F,CLB,23,14,1236,5,1,1,0,44,16,36.36,11.4,2014,0,14.0,10.0,10.0,10.0
6000,Sebastian Fernandez,F,VAN,32,24,1968,5,0,6,0,54,17,31.48,9.3,2014,0,12.0,8.0,14.0,2.0
6001,Brad Davis,M,HOU,25,25,2071,4,11,1,0,39,15,38.46,10.3,2014,0,11.0,17.0,6.0,-19.0
6002,Lloyd Sam,M,NY,32,32,2832,4,9,6,0,37,16,43.24,10.8,2014,0,13.0,10.0,11.0,5.0
6003,Benny Feilhaber,M,KC,31,30,2607,4,6,6,0,47,13,27.66,8.5,2014,0,14.0,13.0,7.0,7.0
6004,Teal Bunbury,F,NE,31,28,2446,4,6,5,0,53,28,52.83,7.5,2014,0,17.0,13.0,4.0,5.0
6005,Ricardo Clark,M,HOU,25,24,2087,4,4,5,0,50,15,30.0,8.0,2014,0,11.0,17.0,6.0,-19.0
6006,Omar Gonzalez,D,LA,22,22,1902,4,2,5,1,18,10,55.56,22.2,2014,1,17.0,7.0,10.0,32.0
6007,Je-Vaughn Watson,D,DAL,31,29,2481,4,2,4,2,29,8,27.59,13.8,2014,0,16.0,12.0,6.0,10.0
6008,Atiba Harris,D,SJ,24,19,1585,4,2,4,0,31,15,48.39,12.9,2014,0,6.0,16.0,12.0,-15.0
6009,Kekuta Manneh,F,CIN,29,13,1198,4,2,2,0,54,22,40.74,7.4,2014,0,,,,
6010,Ignacio Piatti,M,MTL,6,6,450,4,1,2,0,16,7,43.75,25.0,2014,0,6.0,18.0,10.0,-20.0
6011,Jose Mari,M,COL,20,20,1745,4,1,3,1,34,11,32.35,11.8,2014,0,8.0,18.0,8.0,-19.0
